country_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
uy,uy.svg,1.681,SVG,"(512, 512)",1.0,,20,,"#0038a8,#fcd116,#fff"
uz,uz.svg,1.462,SVG,"(512, 512)",1.0,,14,,"#0099b5,#1eb53a,#ce1126,#fff"
va,va.svg,27.987,SVG,"(512, 512)",1.0,,100,,"#ccc,#ce9d09,#fa0204,#ffe000,#fff"
vc,vc.svg,0.466,SVG,"(512, 512)",1.0,,8,,"#0058aa,#199a00,#f4f100"
ve,ve.svg,1.196,SVG,"(512, 512)",1.0,,8,,"#00247d,#cf142b,#fc0,#fff"
vg,vg.svg,9.761,SVG,"(512, 512)",1.0,,60,,"#006,#006129,#012169,#9c5100,#c8102e,#ffc6b5,#ffc72c,#fff"
vi,vi.svg,8.247,SVG,"(512, 512)",1.0,,42,,"#0081c6,#162667,#369443,#a60032,#f4c53d,#fff"
vn,vn.svg,0.478,SVG,"(512, 512)",1.0,,6,,"#da251d,#ff0"
vu,vu.svg,1.964,SVG,"(512, 512)",1.0,,16,,"#009543,#d21034,#fdce12"
wf,wf.svg,0.226,SVG,"(512, 512)",1.0,,6,,"#000091,#e1000f,#fff"
ws,ws.svg,0.683,SVG,"(512, 512)",1.0,,6,,"#002b7f,#ce1126,#fff"
xk,xk.svg,9.421,SVG,"(480, 640)",1.33,,16,,"#244aa5,#d0a650,#fff"
ye,ye.svg,0.28,SVG,"(512, 512)",1.0,,6,,"#000001,#f10600,#fff"
yt,yt.svg,0.226,SVG,"(512, 512)",1.0,,6,,"#000091,#e1000f,#fff"
za,za.svg,0.836,SVG,"(512, 512)",1.0,,14,,"#000001,#000c8a,#007847,#e1392d,#ffb915,#fff"
zm,zm.svg,5.188,SVG,"(512, 512)",1.0,,34,,"#000001,#198a00,#de2010,#ef7d00"
zw,zw.svg,6.021,SVG,"(512, 512)",1.0,,24,,"#000001,#006400,#00f,#d40000,#fc0,#ffd200,#fff"
