subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
ES-M,ES-M.svg,0.677,SVG,"(700, 1100)",1.57,,4,,"#c60b1e,#fff"
ES-MA,ES-MA.svg,1182.21,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#630b57,#a05a2c,#c27e4f,#c87137,#e3e4e5,#eac102,#ed1c24,#ffb380,#fff"
ES-MC,ES-MC.svg,3.593,SVG,"(500, 750)",1.5,,20,,"#9c1f2d,#fcb714"
ES-MD,ES-MD.svg,0.677,SVG,"(700, 1100)",1.57,,4,,"#c60b1e,#fff"
ES-ML,ES-ML.svg,171.406,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#058e6e,#c8b100,#d576ad,#e3e4e5,#e9b703,#eac102,#ed1c24,#f6cb7e"
ES-MU,ES-MU.svg,3.593,SVG,"(500, 750)",1.5,,20,,"#9c1f2d,#fcb714"
ES-NA,ES-NA.svg,141.186,SVG,"(500, 750)",1.5,,100,,"#008f4c,#da121a,#e3e4e5,#eac102,#ed1c24"
ES-NC,ES-NC.svg,141.186,SVG,"(500, 750)",1.5,,100,,"#008f4c,#da121a,#e3e4e5,#eac102,#ed1c24"
ES-O,ES-O.svg,4.112,SVG,"(600, 900)",1.5,,12,,"#06f,#f7d417"
ES-OR,ES-OR.svg,194.381,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#1766bc,#333,#a05a2c,#c87137,#e3e4e5,#eac102,#ed1c24,#fff"
ES-P,ES-P.svg,2909.4,SVG,"(500, 750)",1.5,,30,,"#002e5f,#0051a7,#005cc1,#00785c,#00a3db,#020101,#302819,#51006a,#52221c,#635234,#6c6454,#897148,#8d8d8a,#a30e20,#cc1229"
ES-PM,ES-PM.svg,6.116,SVG,"(720, 1080)",1.5,,100,,"#40104c,#da121a,#fcdd09,#fff"
ES-PO,ES-PO.svg,94.497,SVG,"(298, 448)",1.5,,100,,"#0071bc,#008f4c,#396bad,#402819,#784421,#a05a2c,#e3e4e5,#eac102,#ed1c24,#fff"
ES-PV,ES-PV.svg,0.313,SVG,"(560, 1000)",1.79,,6,,#d52b1e
ES-RI,ES-RI.svg,133.207,SVG,"(500, 750)",1.5,,100,,"#0071bc,#00743e,#008f4c,#00a658,#66bc29,#dc291e,#e3e4e5,#eac102,#ed1c24,#ffc82e,#fff"
ES-S,ES-S.svg,134.056,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#a05a2c,#d38d5f,#da121a,#e3e4e5,#eac102,#ebebeb,#ed1c24,#fff"
ES-SA,ES-SA.svg,290.625,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#981932,#ac7d2e,#c87137,#ccc,#e3e4e5,#eac102,#ed1c24,#f00"
ES-SE,ES-SE.svg,929.715,SVG,"(500, 750)",1.5,,100,,"#0071bc,#007c59,#008f4c,#191919,#333,#4d4d4d,#502d16,#784421,#a05a2c,#a06741,#c87137,#c8b100,#deaa87,#e3bb01,#e3e4e5,#eac102,#ed1c24,#fcef3c,#fff"
ES-SG,ES-SG.svg,307.88,SVG,"(500, 651)",1.3,,100,,"#0071bc,#008f4c,#543d29,#745337,#b81626,#cf9f7c,#dbdbdb,#e3e4e5,#eac102,#ed1c24,#fdcc8a"
ES-SO,ES-SO.svg,415.92,SVG,"(500, 750)",1.5,,100,,"#005a2f,#0071bc,#008f4c,#2b0000,#630b57,#742c64,#784421,#999,#a05a2c,#b9784e,#e3e4e5,#eac102,#ed1c24,#fbc8bc,#ffb380,#fff"
ES-SS,ES-SS.svg,171.166,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#a05a2c,#e3e4e5,#eac102,#ed1c24,#f6cb7e,#fff"
ES-T,ES-T.svg,111.752,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#da121a,#e3e4e5,#eac102,#ed1c24,#fff"
ES-TE,ES-TE.svg,157.529,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#646464,#7e4c16,#c87137,#d38d5f,#da121a,#e3e4e5,#eac102,#ed1c24,#fca,#ffef7b,#fff"
ES-TF,ES-TF.svg,358.419,SVG,"(500, 750)",1.5,,100,,
ES-TO,ES-TO.svg,452.036,SVG,"(532, 850)",1.6,,100,,"#060606,#0f764c,#138d6e,#158e46,#1a5aa6,#1a91b2,#323031,#8abe5f,#c7b117,#c9cacb,#cc1233,#ccc,#cd171e,#ce1526,#dbe5e8,#e7e6e7,#eb1b24,#ebc8a4,#ef6620,#fdcd12,#fff"
ES-V,ES-V.svg,20.256,SVG,"(847, 1276)",1.51,,100,,
ES-VA,ES-VA.svg,312.953,SVG,"(500, 750)",1.5,,100,,"#436500,#4c6d09,#4d7206,#527310,#66851c,#6b6b6b,#6c6b66,#a0892c,#a80,#a9a885,#b81626,#c6a35f,#c7ac65,#ccc095,#ceb076,#d28b00,#decea5,#e6bd96,#f00,#fd5,#ff0,#ffd42a"
ES-VC,ES-VC.svg,20.256,SVG,"(847, 1276)",1.51,,100,,
ES-VI,ES-VI.svg,89.105,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#a05a2c,#ae0055,#d38d5f,#e3e4e5,#eac102,#ed1c24"
ES-Z,ES-Z.svg,143.324,SVG,"(531, 797)",1.5,,100,,"#332922,#37493b,#488c75,#545f95,#636840,#879981,#b93b2d,#d6c06b,#da000d,#da121a,#dc080d,#e2dd2b,#e4d8cc,#fbea0e,#fff"
ES-ZA,ES-ZA.svg,0.725,SVG,"(900, 1350)",1.5,,18,,"#078930,#da121a"
ET-AA,ET-AA.svg,55.168,SVG,"(423, 636)",1.5,,100,,"#0088d2,#3c410f,#4d4c59,#918e17,#999,#cacbca,#ccc,#df463b,#eebe3d,#f59228,#f6ec2e,#fff"
ET-AF,ET-AF.svg,3.125,SVG,"(453, 700)",1.55,,14,,"#078930,#0f47af,#ae6c1e,#d8e5ea,#da121a,#fff"
ET-AM,ET-AM.svg,0.412,SVG,"(600, 1200)",2.0,,6,,"#da121a,#fcdd09"
ET-BE,ET-BE.svg,0.295,SVG,"(450, 900)",2.0,,8,,"#000,#078930,#da121a,#fcdd09"
ET-DD,ET-DD.png,22.824,PNG,"(480, 720)",1.5,,31.82,,
ET-GA,ET-GA.svg,0.919,SVG,"(700, 1200)",1.71,,10,,"#078930,#da121a,#ffffff"
ET-HA,ET-HA.svg,27.546,SVG,"(600, 1200)",2.0,,100,,"#000,#00a650,#4cb642,#4cbc52,#6ccef5,#e7212c,#ed1b24,#f01f2e,#f0e820,#f3243e,#f6f129,#f7e822,#fbfefb,#fff"
ET-OR,ET-OR.svg,15.913,SVG,"(600, 1200)",2.0,,14,,"#000000,#036831,#9c9e69,#e01010,#ffffff"
ET-SI,ET-SI.svg,3.589,SVG,"(600, 1200)",2.0,,18,,"#004a99,#006a44,#008a35,#c1272d,#df0c0c,#fdb913,#ffffff"
ET-SN,ET-SN.svg,2.218,SVG,"(600, 1200)",2.0,,30,,"#0f47af,#6b4221,#794317,#965423,#bd7339,#c57439,#da121a,#f7bd8c,#fff"
ET-SO,ET-SO.svg,0.819,SVG,"(720, 1200)",1.67,,10,,"#078930,#0c0,#3cf,#4189dd,#c00,#da121a,#fff"
ET-SW,ET-SW.svg,0.741,SVG,"(600, 1200)",2.0,,12,,"#00a64e,#16469b,#ec2124,#f5ea12,#fff"
ET-TI,ET-TI.svg,0.646,SVG,"(682, 1200)",1.76,,6,,"#da121a,#fcdd09"
FI-01,FI-01.svg,0.543,SVG,"(480, 640)",1.33,,12,,"#0053a5,#d21034,#ffce00"
FI-02,FI-02.png,17.062,PNG,"(225, 225)",1.0,,44.22,,
FI-03,FI-03.svg,10.489,SVG,"(500, 750)",1.5,,14,,"#000000,#0046b8,#1559a4,#ffffff"
FI-04,FI-04.svg,9.395,SVG,"(500, 780)",1.56,,16,,"#000000,#ffd52b,#ffffff"
FI-05,FI-05.svg,6.774,SVG,"(420, 630)",1.5,,14,,"#2b954a,#feed00,#ffd52b,#fff200"
FI-06,FI-06.svg,28.204,SVG,"(500, 750)",1.5,,100,,"#000000,#db101e,#ffce07,#ffffff"
FI-07,FI-07.svg,30.95,SVG,"(700, 1000)",1.43,,100,,"#1153d4,#155bdb,#d5a92d,#ffffff"
FI-08,FI-08.svg,31.261,SVG,"(400, 400)",1.0,,36,,"#000000,#ff1a3d,#ffffff"
FI-09,FI-09.png,34.52,PNG,"(224, 224)",1.0,,100,,
FI-10,FI-10.png,5.854,PNG,"(216, 216)",1.0,,77.39,,
FI-11,FI-11.svg,3.235,SVG,"(240, 360)",1.5,,4,,"#bb2a33,#f3c74d"
FI-12,FI-12.png,18.988,PNG,"(225, 225)",1.0,,29.27,,
FI-13,FI-13.svg,19.605,SVG,"(600, 840)",1.4,,62,,"#2d358a,#dd0328,#ffed00,#fff200,#ffffff"
FI-14,FI-14.png,4.294,PNG,"(216, 216)",1.0,,100,,
FI-15,FI-15.svg,21.229,SVG,"(520, 780)",1.5,,46,,"#000000,#16478d,#858c98,#d10000,#e90000,#f2d477,#f5ceb4,#ff0000,#ffd52b,#fff200,#ffff00,#ffffff"
FI-16,FI-16.svg,152.145,SVG,"(570, 428)",0.75,,100,,"#006bb6,#fff200"
FI-17,FI-17.svg,15.376,SVG,"(391, 630)",1.61,,36,,"#000000,#0064ae,#e70909,#ffd90f,#ffffff"
FI-18,FI-18.svg,10.356,SVG,"(520, 780)",1.5,,16,,"#0a5fa9,#ffd90f,#ffffff"
FI-19,FI-19.png,5.749,PNG,"(216, 216)",1.0,,33.51,,
FM-KSA,FM-KSA.svg,4.393,SVG,"(370, 700)",1.89,,60,,"#4d87ca,#fff"
FM-PNI,FM-PNI.svg,6.323,SVG,"(300, 570)",1.9,,36,,"#0039ad,#046e24,#a54a00,#fff"
FM-TRK,FM-TRK.svg,2.643,SVG,"(256, 512)",2.0,,6,,"#08298c,#fff"
FM-YAP,FM-YAP.svg,1.121,SVG,"(370, 700)",1.89,,10,,"#006aa9,#fff"
FR-01,FR-01.svg,294.308,SVG,"(450, 750)",1.67,,100,,"#002395,#ed2939,#ffd203,#fff"
FR-02,FR-02.svg,19.428,SVG,"(797, 1203)",1.51,,18,,"#2b5df2,#fcef3c,#ffffff"
FR-03,FR-03.svg,2.309,SVG,"(800, 1200)",1.5,,8,,"#2b5df2,#fcef3c"
FR-04,FR-04.svg,6.893,SVG,"(797, 1204)",1.51,,18,,"#2b5df2,#e20909,#fcef3c,#ffffff"
FR-05,FR-05.svg,59.925,SVG,"(797, 1203)",1.51,,100,,"#003895,#c40026,#e20909,#ffd203,#fff"
FR-06,FR-06.svg,21.709,SVG,"(432, 682)",1.58,,100,,"#00d700,#fff"
FR-07,FR-07.svg,15.887,SVG,"(800, 1200)",1.5,,26,,"#2b5df2,#fcef3c"
FR-08,FR-08.svg,646.961,SVG,"(797, 1203)",1.51,,0,,
FR-09,FR-09.svg,18.197,SVG,"(797, 1203)",1.51,,36,,"#2b5df2,#e20909,#fcef3c,#ffffff"
FR-10,FR-10.svg,16.668,SVG,"(797, 1203)",1.51,,10,,"#2b5df2,#fcef3c,#ffffff"
FR-11,FR-11.svg,26.55,SVG,"(797, 1203)",1.51,,34,,"#e20909,#fcef3c,#ffffff"
FR-12,FR-12.svg,46.309,SVG,"(400, 600)",1.5,,64,,"#000,#f00,#ff0,#ffdf00,#fff"
FR-13,FR-13.svg,7.415,SVG,"(797, 1204)",1.51,,18,,"#2b5df2,#e20909,#fcef3c,#ffffff"
FR-14,FR-14.svg,43.16,SVG,"(600, 900)",1.5,,100,,"#080808,#085d98,#d90d16,#fcd41c"
FR-15,FR-15.svg,8.801,SVG,"(300, 500)",1.67,,66,,"#000099,#08672f,#2b5df2,#ed2939,#ffd203,#ffffff"
FR-16,FR-16.svg,27.053,SVG,"(600, 900)",1.5,,80,,"#0c3c7c,#d20929,#ffd203,#ffffff"
FR-17,FR-17.svg,18.896,SVG,"(1600, 2400)",1.5,,56,,"#0c70b8,#7aba48,#ffd703,#fff"
FR-18,FR-18.svg,2.579,SVG,"(800, 1200)",1.5,,10,,"#2b5df2,#fcef3c,#fff"
FR-19,FR-19.svg,49.104,SVG,"(600, 900)",1.5,,100,,"#2b5df2,#800000,#e20909,#fcef3c,#ffffff"
FR-20R,FR-20R.svg,29.292,SVG,"(450, 750)",1.67,,82,,"rgb(0,0,0),rgb(255,255,255)"
FR-21,FR-21.svg,2.9,SVG,"(800, 1200)",1.5,,24,,"#2b5df2,#fcef3c,#fff"
FR-22,FR-22.svg,1.739,SVG,"(600, 900)",1.5,,12,,"#2b5df2,#fff"
FR-23,FR-23.svg,81.712,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#e20909,#fcef3c,#fff"
FR-24,FR-24.svg,11.535,SVG,"(800, 1200)",1.5,,54,,"#2b5df2,#e20909,#fcef3c,#fff"
FR-25,FR-25.svg,22.766,SVG,"(600, 900)",1.5,,28,,"#10069f,#da291c,#fedd00"
FR-26,FR-26.svg,38.179,SVG,"(600, 900)",1.5,,48,,"#2b5df2,#e20909,#fcef3c,#ffffff"
FR-27,FR-27.svg,39.48,SVG,"(600, 1000)",1.67,,100,,"#001d78,#002d78,#390000,#d20929,#ffd200,#ffd203,#ffd700,#fff"
FR-28,FR-28.svg,25.64,SVG,"(600, 900)",1.5,,78,,"#001d78,#0c3c7c,#d20929,#ffd203,#ffffff"
FR-29,FR-29.svg,31.377,SVG,"(600, 900)",1.5,,100,,"#2b5df2,#ffe000,#fff"
FR-2A,FR-2A.svg,29.292,SVG,"(450, 750)",1.67,,82,,"rgb(0,0,0),rgb(255,255,255)"
FR-2B,FR-2B.svg,29.292,SVG,"(450, 750)",1.67,,82,,"rgb(0,0,0),rgb(255,255,255)"
FR-30,FR-30.svg,15.358,SVG,"(797, 1203)",1.51,,30,,"#e20909,#fcef3c,#ffffff"
FR-31,FR-31.svg,19.08,SVG,"(797, 1203)",1.51,,36,,"#e20909,#fcef3c,#ffffff"
FR-32,FR-32.svg,21.809,SVG,"(497, 745)",1.5,,64,,"#e20909,#ffffff"
FR-33,FR-33.svg,33.506,SVG,"(600, 1000)",1.67,,100,,"#001d78,#390000,#d20929,#ffd203,#ffffff"
FR-34,FR-34.svg,14.852,SVG,"(797, 1203)",1.51,,30,,"#e20909,#fcef3c,#ffffff"
FR-35,FR-35.svg,2.354,SVG,"(600, 900)",1.5,,12,,"#2b5df2,#fff"
FR-36,FR-36.svg,12.354,SVG,"(533, 800)",1.5,,18,,"#2b5df2,#e20909,#fcef3c,#ffffff"
FR-37,FR-37.svg,2.653,SVG,"(800, 1200)",1.5,,10,,"#2b5df2,#e20909,#fcef3c"
FR-38,FR-38.svg,10.2,SVG,"(750, 1125)",1.5,,56,,"#002395,#ffd203"
FR-39,FR-39.svg,22.132,SVG,"(600, 900)",1.5,,28,,"#10069f,#da291c,#fedd00,#fff"
FR-40,FR-40.svg,55.168,SVG,"(600, 1000)",1.67,,100,,"#000080,#002e56,#390000,#c80a0f,#ffc103"
FR-41,FR-41.svg,17.977,SVG,"(800, 1200)",1.5,,20,,"#2b5df2,#ffff00,#ffffff"
FR-42,FR-42.svg,12.809,SVG,"(533, 800)",1.5,,52,,"#000000,#2b5df2,#e20909,#ffff00"
FR-43,FR-43.svg,25.684,SVG,"(400, 600)",1.5,,74,,"#000000,#2b5df2,#e20909,#fcef3c,#ffffff"
FR-44,FR-44.svg,37.577,SVG,"(797, 1203)",1.51,,14,,"#2b5df2,#fff"
FR-45,FR-45.svg,14.216,SVG,"(797, 1204)",1.51,,26,,"#2b5df2,#fcef3c,#ffffff"
FR-46,FR-46.svg,49.688,SVG,"(1600, 2400)",1.5,,100,,"#2c52a0,#e7353b,#f9eb45,#fff"
FR-47,FR-47.svg,41.34,SVG,"(600, 1000)",1.67,,100,,"#002e56,#390000,#c80a0f,#ffc103,#ffffff"
FR-48,FR-48.svg,2.458,SVG,"(800, 1200)",1.5,,16,,"#2b5df2,#e20909,#fcef3c"
FR-49,FR-49.svg,3.938,SVG,"(217, 325)",1.5,,16,,"#009,#f00"
FR-50,FR-50.svg,43.268,SVG,"(600, 900)",1.5,,100,,"#080808,#085d98,#d90d16,#fcd41c"
FR-51,FR-51.svg,0.873,SVG,"(600, 900)",1.5,,10,,#2b5df2
FR-52,FR-52.svg,0.886,SVG,"(600, 900)",1.5,,10,,#2b5df2
FR-53,FR-53.svg,50.25,SVG,"(533, 800)",1.5,,82,,"#000000,#2b5df2,#e20909,#fcef3c,#ffffff"
FR-54,FR-54.svg,30.063,SVG,"(480, 800)",1.67,,100,,"#2b5df2,#c4001a,#ffd700,#ffffff"
FR-55,FR-55.svg,43.228,SVG,"(533, 800)",1.5,,80,,"#000000,#2b5df2,#fcef3c"
FR-56,FR-56.svg,2.017,SVG,"(600, 900)",1.5,,12,,"#2b5df2,#fff"
FR-57,FR-57.svg,140.429,SVG,"(533, 800)",1.5,,100,,"#2b5df2,#2c2308,#300000,#c4001a,#e6e6e6,#ee163d,#f8d80e,#fcef3c,#fec3ac,#ffd700,#fff"
FR-58,FR-58.svg,8.565,SVG,"(400, 600)",1.5,,10,,"#2b5df2,#e20909,#fcef3c"
FR-59,FR-59.svg,9.55,SVG,"(797, 1203)",1.51,,50,,"#e20909,#fcef3c"
FR-60,FR-60.svg,47.426,SVG,"(533, 800)",1.5,,100,,"#2b5df2,#fcef3c,#ffffff"
FR-61,FR-61.svg,47.985,SVG,"(600, 1)",0.0,,100,,"#080808,#085d98,#d90d16,#fcd41c,#fff"
FR-62,FR-62.svg,432.296,SVG,"(801, 1201)",1.5,,100,,"#2b5df2,#e20909,#eac102,#fcef3c"
FR-63,FR-63.svg,12.143,SVG,"(797, 1204)",1.51,,52,,"#5ab532,#e20909,#f2ef3c,#fcef3c,#fff"
FR-64,FR-64.svg,55.221,SVG,"(520, 800)",1.54,,100,,"#00a,#00f,#5ab532,#d40000,#e20909,#f00,#fcef3c,#ff0,#fff"
FR-65,FR-65.svg,13.874,SVG,"(400, 600)",1.5,,58,,"#2b5df2,#e20909,#fff215"
FR-66,FR-66.svg,0.272,SVG,"(600, 900)",1.5,,4,,#e20909
FR-67,FR-67.jpeg,82.37,JPEG,"(650, 978)",1.5,,20.12,,
FR-68,FR-68.svg,42.988,SVG,"(231, 345)",1.49,,100,,"#ff0000,#ffd700"
FR-69,FR-69.svg,66.017,SVG,"(375, 625)",1.67,,100,,"#002395,#ed2939,#ffd203,#fff"
FR-69M,FR-69M.svg,38.579,SVG,"(200, 300)",1.5,,100,,"#039,#ffe000"
FR-6AE,FR-6AE.svg,32.013,SVG,"(600, 900)",1.5,,20,,"#ed2939,#ffd203,#ffffff"
FR-70,FR-70.svg,40.14,SVG,"(800, 1200)",1.5,,100,,"#3060f0,#e00808,#e20909,#fcef3c,#fff03c,#ffffff"
FR-71,FR-71.svg,56.061,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#e20909,#fcef3c,#fff"
FR-72,FR-72.svg,62.679,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#e20909,#fcef3c,#fff"
FR-73,FR-73.svg,0.165,SVG,"(120, 200)",1.67,,4,,#c00
FR-74,FR-74.svg,10.553,SVG,"(600, 1000)",1.67,,8,,"#000000,#cc0000"
FR-75C,FR-75C.svg,298.229,SVG,"(800, 1200)",1.5,,100,,"#002395,#008000,#008f4c,#056711,#10893b,#1c1c7a,#878787,#a9a942,#b3b3b3,#b4b437,#dfdfdf,#e3e4e5,#e6e6e6,#ed2939,#ffce00,#fff"
FR-76,FR-76.svg,35.415,SVG,"(600, 1000)",1.67,,100,,"#001d78,#390000,#d20929,#ffd203,#fff"
FR-77,FR-77.svg,2.53,SVG,"(800, 1200)",1.5,,8,,"#2b5df2,#fcef3c,#fff"
FR-78,FR-78.svg,53.967,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#fcef3c,#fff"
FR-79,FR-79.svg,22.181,SVG,"(800, 1200)",1.5,,84,,"#c80a0f,#fcef3c,#ffffff"
FR-80,FR-80.svg,33.428,SVG,"(800, 1200)",1.5,,100,,"#002395,#c80a0f,#ed2939,#ffd700,#ffffff"
FR-81,FR-81.svg,5.84,SVG,"(800, 1200)",1.5,,30,,"#d4001c,#fddd00"
FR-82,FR-82.svg,274.275,SVG,"(800, 1200)",1.5,,100,,"#0000d8,#00f,#2b5df2,#313131,#f00,#fcef3c,#ffd700,#fff"
FR-83,FR-83.svg,5.698,SVG,"(797, 1203)",1.51,,10,,"#2b5df2,#e20909,#fcef3c"
FR-84,FR-84.svg,26.756,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#5ab532,#e20909,#f00,#fcef3c,#fff"
FR-85,FR-85.svg,4.969,SVG,"(798, 1202)",1.51,,6,,#fff
FR-86,FR-86.svg,9.241,SVG,"(533, 800)",1.5,,36,,"#e20909,#fcef3c,#ffffff"
FR-87,FR-87.svg,37.738,SVG,"(798, 1204)",1.51,,16,,"#2b5df2,#e20909,#fff"
FR-88,FR-88.svg,39.734,SVG,"(495, 744)",1.5,,56,,"#000000,#00a85a,#ee3338,#fff215,#ffffff"
FR-89,FR-89.svg,3.005,SVG,"(800, 1200)",1.5,,26,,"#2b5df2,#fcef3c,#fff"
FR-90,FR-90.svg,44.708,SVG,"(622, 936)",1.5,,100,,"#2a57a5,#fcef3c"
FR-91,FR-91.svg,58.249,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#fcef3c,#fff"
FR-92,FR-92.svg,20.692,SVG,"(800, 1200)",1.5,,100,,"#2b5df2,#3060f0,#e20909,#fcef3c,#ffffff"
FR-93,FR-93.svg,63.082,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#e20909,#fcef3c,#fff"
FR-94,FR-94.svg,54.454,SVG,"(797, 1203)",1.51,,100,,"#2b5df2,#fcef3c,#fff"
FR-95,FR-95.svg,34.021,SVG,"(800, 1200)",1.5,,100,,"#2b5df2,#e20909,#fcef3c,#fff"
FR-971,FR-971.svg,0.256,SVG,"(600, 900)",1.5,,6,,"#002654,#ce1126,#ffffff"
FR-972,FR-972.svg,0.266,SVG,"(600, 900)",1.5,,6,,"#00a650,#231f1e,#ef1923"
FR-973,FR-973.svg,0.256,SVG,"(600, 900)",1.5,,6,,"#002654,#ce1126,#ffffff"
FR-974,FR-974.svg,0.256,SVG,"(600, 900)",1.5,,6,,"#002654,#ce1126,#ffffff"
FR-976,FR-976.svg,0.256,SVG,"(600, 900)",1.5,,6,,"#002654,#ce1126,#ffffff"
FR-ARA,FR-ARA.svg,37.859,SVG,"(600, 900)",1.5,,100,,"#000000,#002395,#ed2939,#ffd203,#ffffff"
FR-BFC,FR-BFC.svg,49.456,SVG,"(960, 1600)",1.67,,100,,"#10069f,#da291c,#fedd00,#fff"
FR-BL,FR-BL.svg,0.282,SVG,"(480, 640)",1.33,,6,,"#00267f,#f31830,#fff"
FR-BRE,FR-BRE.svg,1.233,SVG,"(900, 1350)",1.5,,16,,"#000,#fff"
FR-CP,FR-CP.svg,0.282,SVG,"(480, 640)",1.33,,6,,"#00267f,#f31830,#fff"
FR-CVL,FR-CVL.svg,2.161,SVG,"(360, 600)",1.67,,22,,"#002395,#ed2939,#ffd203,#fff"
FR-GES,FR-GES.svg,9.111,SVG,"(900, 1350)",1.5,,32,,"#002395,#d9152a,#ffd402,#fff"
FR-HDF,FR-HDF.svg,37.149,SVG,"(600, 900)",1.5,,100,,"#000,#ed2939,#ffd700,#fff"
FR-IDF,FR-IDF.svg,10.575,SVG,"(216, 360)",1.67,,38,,"#009,#ffd700"
FR-MF,FR-MF.svg,0.282,SVG,"(480, 640)",1.33,,6,,"#00267f,#f31830,#fff"
FR-NAQ,FR-NAQ.svg,32.036,SVG,"(600, 900)",1.5,,66,,"#1353b4,#c2022e,#fff"
FR-NC,FR-NC.svg,1.375,SVG,"(480, 640)",1.33,,22,,"#0035ad,#009543,#ed4135,#fae600"
FR-NOR,FR-NOR.svg,47.067,SVG,"(600, 900)",1.5,,100,,"#080808,#085d98,#d90d16,#fcd41c"
FR-OCC,FR-OCC.svg,1.883,SVG,"(600, 900)",1.5,,12,,"#c1000a,#ffd800"
FR-PAC,FR-PAC.svg,28.491,SVG,"(750, 1125)",1.5,,100,,"#002395,#ed2939,#f00,#ffd203,#fff"
FR-PDL,FR-PDL.svg,41.472,SVG,"(420, 720)",1.71,,100,,"#039,#ed2939,#ffd700,#fff"
FR-PF,FR-PF.svg,4.184,SVG,"(480, 640)",1.33,,22,,"#083d9c,#de2010,#ef7d08,#fff"
FR-PM,FR-PM.svg,0.282,SVG,"(480, 640)",1.33,,6,,"#00267f,#f31830,#fff"
FR-TF,FR-TF.svg,1.06,SVG,"(480, 640)",1.33,,12,,"#002395,#ed2939,#fff"
FR-WF,FR-WF.svg,0.282,SVG,"(480, 640)",1.33,,6,,"#00267f,#f31830,#fff"
GA-1,GA-1.svg,5.481,SVG,"(1456, 2184)",1.5,,52,,"#025cb9,#ffcc00,#ffffff"
GA-2,GA-2.svg,15.429,SVG,"(1456, 2184)",1.5,,86,,"#000000,#229bcb,#ffcc00,#ffffff"
GA-3,GA-3.svg,12.888,SVG,"(1456, 2184)",1.5,,44,,"#000000,#025cb9,#d82216,#ffcc00,#ffffff"
GA-4,GA-4.svg,35.636,SVG,"(1456, 2184)",1.5,,78,,"#000000,#010100,#d82216,#ffcc00,#ffffff"
GA-5,GA-5.svg,30.176,SVG,"(1456, 2184)",1.5,,100,,"#000000,#025cb9,#d82216,#ffcc00,#ffffff"
GA-6,GA-6.svg,63.664,SVG,"(1456, 2184)",1.5,,100,,"#d82216,#fc0,#fff"
GA-7,GA-7.svg,26.459,SVG,"(1456, 2184)",1.5,,100,,"#000000,#d82216,#ffcc00,#ffffff"
GA-8,GA-8.svg,6.906,SVG,"(1456, 2184)",1.5,,40,,"#000000,#025cb9,#ffcc00,#ffffff"
GA-9,GA-9.svg,14.083,SVG,"(1456, 2184)",1.5,,56,,"#000000,#008015,#ffcc00,#ffffff"
GB-ABC,GB-ABC.png,188.066,PNG,"(600, 1000)",1.67,,6.74,,
GB-ABD,GB-ABD.svg,18.925,SVG,"(1800, 3)",0.0,,100,,"#5f1d5f,#ff9f00,#ffffff"
GB-ABE,GB-ABE.svg,17.689,SVG,"(234, 392)",1.68,,100,,"#cf142b,#fff"
GB-AGY,GB-AGY.svg,86.725,SVG,"(180, 300)",1.67,,100,,"#231f20,#881211,#e22739,#fee111,#fff"
GB-ANN,GB-ANN.svg,0.51,SVG,"(500, 1000)",2.0,,4,,#f1c800
GB-ANS,GB-ANS.png,334.012,PNG,"(1200, 2000)",1.67,,13.38,,
GB-BDF,GB-BDF.svg,2.831,SVG,"(600, 1000)",1.67,,18,,"#005eb8,#da291c,#ffd100,#fff"
GB-BEX,GB-BEX.png,13.957,PNG,"(216, 432)",2.0,,50.58,,
GB-BFS,GB-BFS.png,86.989,PNG,"(620, 1035)",1.67,,30.2,,
GB-BIR,GB-BIR.svg,14.149,SVG,"(1800, 3)",0.0,,60,,"#000000,#003798,#9f2d20,#dc241f,#ffe500"
GB-BKM,GB-BKM.svg,248.476,SVG,"(135, 225)",1.67,,100,,"#323235,#cc9e05,#d2701e,#e03e3f,#e1deda,#e6ddd0,#ea8b79,#ef7e19,#f29a4c,#f6b97d,#fed512,#ffed00,#fff"
GB-BNH,GB-BNH.png,89.34,PNG,"(475, 800)",1.68,,13.01,,
